Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACI,Armada Acquisition Corp. I Common Stock,0,United States,2021,24,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,151,Finance,Blank Checks
AAGR,African Agriculture Holdings Inc. Common Stock,17232031,United States,2021,78351,Finance,Finance: Consumer Services
AAGRW,African Agriculture Holdings Inc. Warrant,276719,United States,2021,2987,Finance,Finance: Consumer Services
AAMC,Altisource Asset Management Corp Com,11056536,United States,,941,Finance,Real Estate
ABIO,ARCA biopharma Inc. Common Stock,24216909,United States,,47753,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABLLW,Abacus Life Inc. Warrant,36495833,United States,2020,3300,Finance,Investment Managers
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,15021,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,3634,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,62398,,
ABVC,ABVC BioPharma Inc. Common Stock,9370032,United States,,59411,Health Care,Biotechnology: Pharmaceutical Preparations
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,0,United States,2022,3,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0,United States,2022,1630,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,0,United States,2022,89,Finance,Blank Checks
ACON,Aclarion Inc. Common Stock,206086,United States,2022,1534907,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,27478,United States,2022,37454,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,16147274,United States,2006,9557,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACP,abrdn Income Credit Strategies Fund Common Shares,0,United States,2011,151195,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,,United States,,2344,,
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,,United States,,3357,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,,United States,,3868,,
ACXP,Acurx Pharmaceuticals Inc. Common Stock,41166251,United States,2021,53942,Health Care,Biotechnology: Pharmaceutical Preparations
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,,United States,,92153,,
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,4047753,United States,,135147,Consumer Discretionary,Engineering & Construction
ADIL,Adial Pharmaceuticals Inc Common Stock,3398167,United States,2018,1197267,Health Care,Biotechnology: Pharmaceutical Preparations
ADN,Advent Technologies Holdings Inc. Class A Common Stock,11987237,United States,2018,954874,Miscellaneous,Industrial Machinery/Components
ADNWW,Advent Technologies Holdings Inc. Warrant,1669584,United States,2018,14282,Miscellaneous,Industrial Machinery/Components
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,0,United States,2020,1832,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADOCR,Edoc Acquisition Corp. Right,0,United States,2020,41701,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
