Ticker,Financial_currentPrice,Financial_totalCash,Financial_totalCashPerShare,Financial_ebitda,Financial_totalDebt,Financial_quickRatio,Financial_currentRatio,Financial_totalRevenue,Financial_debtToEquity,Financial_revenuePerShare,Financial_returnOnAssets,Financial_returnOnEquity,Financial_freeCashflow,Financial_ebitdaMargins,Financial_profitMargins,KeyStats_enterpriseValue,KeyStats_sharesOutstanding,KeyStats_heldPercentInsiders,KeyStats_priceToBook,KeyStats_enterpriseToEbitda,SharePurchase_period,SharePurchase_buyInfoCount,SharePurchase_buyInfoShares,SharePurchase_buyPercentInsiderShares,SharePurchase_sellInfoCount,SharePurchase_sellInfoShares,SharePurchase_sellPercentInsiderShares,SharePurchase_netInfoCount,SharePurchase_netInfoShares,SharePurchase_netPercentInsiderShares,SharePurchase_totalInsiderShares
AACI,10.98,54405,0.007,,2776600,0.006,0.007,,,,-0.02076,,1127652,0.0,0.0,91362080,8072850,0.68711996,,,6m,0,0,,0,,,0,0,,5547015
AACIW,0.026,54405,0.007,,2776600,0.006,0.007,,,,-0.02076,,1127652,0.0,0.0,,,,5.2000003,,6m,0,0,,0,,,0,0,,0
AAGR,0.685,34497,0.001,-49001644,12566293,0.006,0.095,1800141,,0.035,-2.4240198,,-8686049,0.0,0.0,39343864,57866800,0.53927,,-0.803,6m,0,0,,0,,,0,0,,21107946
AAGRW,0.011,34497,0.001,-49001644,12566293,0.006,0.095,1800141,,0.035,-2.4240198,,-8686049,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
AAMC,4.0,7883000,2.852,-23900000,10585000,0.457,0.771,5630000,33.077,1.874,-0.18194,-0.53993,-10316250,0.0,0.0,157970528,2764130,0.70678,,-6.61,6m,0,0,,0,,,0,0,,1953634
ABIO,1.67,37431000,2.581,-7122000,280000,58.761,59.014,,0.756,,-0.11021,-0.13569,-4141625,0.0,0.0,-12934091,14501100,0.0128999995,0.65413237,1.816,6m,0,0,,0,,,0,0,,187064
ABLLW
ABR^D
ABR^E
ABR^F
ABVC,1.21,568590,0.079,-9360505,3886517,0.223,0.465,739259,42.89,0.212,-0.43347,-1.63763,-1642887,0.0,0.0,11996998,8554200,0.19996001,0.6375132,-1.282,6m,0,0,,0,,,0,0,,1440592
ACAB,10.69,948153,0.087,,0,0.172,0.191,,,,-0.00542,,3249666,0.0,0.0,115954392,8167390,0.68126,,,6m,0,0,,0,,,0,0,,7450049
ACABW,0.058,948153,0.087,,0,0.172,0.191,,,,-0.00542,,3249666,0.0,0.0,,,,19.333332,,6m,0,0,,0,,,0,0,,0
ACAC,11.18,52840,0.01,,1135924,0.026,0.039,,,,,,,0.0,0.0,61581416,3255050,0.113129996,,,6m,0,0,,0,,,0,0,,612180
ACON,0.375,1021069,0.517,-4713311,1125724,0.324,0.404,75404,,0.135,-1.1340799,-6.5574102,-1097519,0.0,0.0,845499,7150580,0.02317,,-0.179,6m,0,0,,0,,,0,0,,45774
ACONW,0.05,1021069,0.517,-4713311,1125724,0.324,0.404,75404,,0.135,-1.1340799,-6.5574102,-1097519,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ACOR,13.0,32468000,26.14,11505000,186088992,0.96,1.593,111118000,315.635,87.938,-0.0332,-0.2368,32660500,0.10354,-0.14355,169768272,1242100,0.0068900003,0.27388024,14.756,6m,0,0,,0,,,0,0,,8558
ACP,6.83,21506,0.0,,105000000,8.489,9.028,37690348,27.643,0.723,0.049310002,0.10321999,5962821,0.0,0.80311996,501931648,52110000,0.0,1.0472248,,6m,0,0,,0,,,0,0,,0
ACP^A
ACR^C
ACR^D
ACXP,2.99,7052329,0.512,,0,2.188,2.221,,,,-0.87855005,-1.85778,-2327313,0.0,0.0,34113924,13768000,0.17756,9.867987,,6m,0,0,,0,,,0,0,,2444642
ADC^A
ADD,0.25,239473,0.01,-22626472,583915,1.078,3.013,,2.362,,-0.42637002,-1.03471,2805210,0.0,0.0,6272195,22511000,0.109969996,0.16371971,-0.277,6m,0,0,,0,,,0,0,,2607500
ADIL,2.79,315880,0.259,-10150964,0,1.261,2.15,,,,-1.197,-2.47342,-4632171,0.0,0.0,3082287,1663420,0.09802,1.4523685,-0.304,6m,0,0,,0,,,0,0,,119386
ADN,0.1917,3661000,0.059,-44770000,11114000,0.529,1.835,5310000,34.111,0.098,-0.33087003,-1.3329101,-36023248,0.0,0.0,19440238,72531200,0.25505,0.36514288,-0.434,6m,1,166779,0.011,2,41928,0.003,3,124851,0.008,15948591
ADNWW,0.0267,3661000,0.059,-44770000,11114000,0.529,1.835,5310000,34.111,0.098,-0.33087003,-1.3329101,-36023248,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ADOC,6.72,11812,0.003,,3545390,0.002,0.007,,,,-0.06989,,-425211,0.0,0.0,27861370,3620210,0.60397,,,6m,0,0,,0,,,0,0,,2186496
ADOCR,0.1925,11812,0.003,,3545390,0.002,0.007,,,,-0.06989,,-425211,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ADOCW,0.04,11812,0.003,,3545390,0.002,0.007,,,,-0.06989,,-425211,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
ADTHW,0.18,74339000,0.842,9307000,6518000,5.664,5.787,162932000,4.067,1.859,0.00488,0.04086,15303750,0.05712,0.0383,,,,0.11349307,,6m,0,0,,0,,,0,0,,0
